year,title,artist,genre,peak_pos,wks_on_chart,duration,popularity,energy,danceability,loudness,speechiness,liveness
1961,Crying,Roy Orbison,Pop,2,16,173000,74,0.796,0.627,-5.192,0.08,0.109
1961,Unsquare Dance,The Dave Brubeck Quartet,Jazz,74,6,119866,50,0.496,0.65,-13.869,0.115,0.119
1961,Cupid,Sam Cooke,R&B,17,12,158013,50,0.433,0.485,-10.503,0.0342,0.0861
1961,A Hundred Pounds Of Clay,Gene McDaniels,Pop,3,15,142000,45,0.389,0.684,-10.933,0.035,0.369
1961,Don't Worry,Marty Robbins,Country,3,15,194160,37,0.165,0.648,-16.446,0.0348,0.13
1961,Tom Dooley,The Kingston Trio,Folk,1,21,183973,41,0.144,0.649,-13.986,0.0418,0.105
1961,Together,Connie Francis,Pop,6,11,148000,92,0.668,0.646,-5.203,0.0282,0.212
1961,Hello Walls,Faron Young,Country,12,15,146840,52,0.406,0.62,-10.421,0.0281,0.114
1961,Hello Mary Lou,Ricky Nelson,Pop,9,15,138000,57,0.633,0.602,-9.756,0.0314,0.0614
1961,Take Good Care Of Her,Adam Wade,Pop,7,14,149000,34,0.253,0.378,-12.243,0.036,0.109
1961,Take Good Care Of My Baby,Bobby Vee,Pop,1,15,149000,57,0.441,0.487,-11.297,0.0722,0.15
1961,On The Rebound,Floyd Cramer,Pop,4,13,131000,43,0.479,0.804,-8.356,0.0285,0.111
1961,He Will Break Your Heart,Jerry Butler,Pop,7,15,170000,31,0.601,0.612,-9.095,0.0425,0.446
1961,Greenback Dollar,The Kingston Trio,Folk,21,11,172200,37,0.322,0.7,-14.241,0.0774,0.123
1961,This Time,Troy Shondell,Pop,6,13,220000,71,0.931,0.555,-2.969,0.0367,0.405
1961,One Mint Julep,Ray Charles,Pop,8,13,185000,31,0.666,0.66,-11.056,0.0566,0.317
1961,Hurt,Timi Yuro,Pop,4,12,140000,78,0.786,0.553,-5.477,0.0325,0.119
1961,Dum Dum,Brenda Lee,Pop,4,12,151000,75,0.395,0.697,-13.58,0.0281,0.173
1961,Ebony Eyes,The Everly Brothers,Pop,8,12,212000,48,0.676,0.698,-11.717,0.0277,0.112
1961,Portrait Of My Love,Steve Lawrence,Pop,9,16,165000,34,0.123,0.271,-15.139,0.0318,0.34
1961,Calendar Girl,Neil Sedaka,Pop,4,15,159000,56,0.649,0.703,-7.727,0.0312,0.209
1961,Moody River,Pat Boone,Pop,1,15,157000,37,0.269,0.767,-14.983,0.0333,0.0875
1961,Forever,The Marvelettes,R&B,78,6,141746,44,0.431,0.573,-6.962,0.0292,0.17
1961,Imagine That,Patsy Cline,Country,90,2,121080,27,0.177,0.432,-11.288,0.0308,0.186
